,,,,Will get data from JRC,Will get data from JRC,Will get data from JRC,"Data from OPHI, Deprived in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Security Incidents,Security Incidents,Physical exposure to Flood,Total affected by Drought,Frequency of Drought events,"EDUCATION:
Schooling (% of population)","EDUCATION:
Child school attendance (% of population)","HEALTH:
Child mortality (% of population)","HEALTH
Nutrition (% of population)","LIVING STANDARDS:
Electricity (No Access - % of population)",Access to electricity,"LIVING STANDARDS:
Deprived in Improved sanitation (% of population)","LIVING STANDARDS:
Drinking water (% of population)",Access to improved water source,"LIVING STANDARDS:
Floor (% of population)","LIVING STANDARDS:
Cooking fuel (% of population)
fuel","LIVING STANDARDS:
Asset ownership (% of population)",Multi-Dimensional Poverty Index,"Headcount ratio: Population in multidimensional poverty
(H)",poverty headcount ratio - below '05 PPP $1.25/day,poverty headcount - below '05 PPP $1.25/day,"Intensity of deprivation among the poor
(A) ",Inequality among the poor,"Population
 vulnerable to poverty
(experiencing intensity between 20–32.9% ) ","Population in 
severe poverty
(experiencing intensity higher than  50%)",Human Development Index,Poverty,Poverty gap,Net primary school attendance rate,Under five mortality,"INCOME INEQUALITY:
Gini coefficient","FOOD SECURITY:
IPC","LIVING STANDARDS:
Drinking water (% of population)",Internally displaced persons (IDPs),"Refugees
(By Country of Asylum)","CAPACITY TO COPE (Insititutional):
DRR","CAPACITY TO COPE (Institutional):
Government Effectiveness - World Governance Indicators ","CAPACITY TO COPE (INFRASTRUCTURE):
Paved Roads as a % of Total Roads","CAPACITY TO COPE (INFRASTRUCTURE):
Mobile cellular subscriptions per 100","CAPACITY TO COPE (INFRASTRUCTURE):
Physicians Density","CAPACITY TO COPE (FINANCIAL):
Djibouti,Tadjourah,9,8,,,,26.1,31.9,7.6,16.2,53.4,46.6,38,25.6,74.4,45.3,38.4,62.8,  0.21 ,  44.00 ,,,  48.72 ,  0.16 ,  15.70 ,  22.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,"  79,567 ","  7,300.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Eritrea,18,90,706,243478,0.130,,,,,,32.5,,39.8,60.2,,,,,,,,,,,,0.38,,,,49.90,,,,,"3,175",,-1.54,21.8,6,,,,,80,1974,,,,,,0.200,0.270,0.020,0,0,0.270,"  28,645,936 ",135,134,4.37,50.0,34.5,99,152,0.7,16.51,1.0,,0,0,0,10000,3049,0,78,61.3,,153797,,,,,-1.54,20,68.94,0.80,6.00,,,13.2,60.2,735,"  5,822,875 ","  121,100.0 ",  6.80 ,,0.59,9.09,15.1,-0.78,21.82,3175,,,43,37,99,99,,"  1,507 ",40,0,13.9,5.45455,,,21.8,2000,0.45,2.6,,,8,,85,77,15
Eritrea,Anseba,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  893,587 ","  23,200.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Debub,2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,476,765 ","  8,000.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Debubawi Keih Bahri,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  398,073 ","  27,600.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Gash Barka,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,103,742 ","  33,200.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Maekel,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,053,254 ","  1,300.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,Semenawi Keih Bahri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  897,454 ","  27,800.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Ethiopia,372,1836,62763,1999647,0.435,,,,,,,,,100,,,,  0.56 ,  87.33 ,  0.10 ,,  64.60 ,  0.29 ,  6.84 ,  71.14 ,0.44,36.90,,,64.40,33.60,,,,"660,987",,-0.52,13.7,27,3.00,,1.5,,85,75633,,,,,,0.067,0.800,0.731,3,3,0.470,"  1,542,645,167 ",3532,3261,7.64,64.4,28.7,66,224,1.5,43.65,44.0,0.23,5805679,6500,0,316000,619855,29,97,35.0,,1376201,,1.75,8.8,3.65,-0.52,33,39.00,1.48,27.00,3.84,,23.6,51.5,1092,"  85,777,000 ","  1,020,749.8 ",  15.30 ,,0.93,40.82,12,-1.39,35.55,587708,,,36,59,44.3,36.5,24.3,"  13,467 ","3,550",557,17.85,2.945128333,,,13.7,2960,0.55,2.6,,,5,,84,77,16
Ethiopia,Addis Ababa,65,53,,,,8,11.6,11.6,35.1,1.4,98.6,75,5.7,94.3,11.6,62,9.2,  0.08 ,  20.01 ,  0.34300 ,"  835,439 ",  42.43 ,  0.08 ,  28.67 ,  4.82 ,,,,,,,,,,"6,033",,,,,,,,,,,,,,,,,,,,,,,,,,53.0,6.4,94,,5.2,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,"  3,170,000 ",  527.0 ,,,,,,,,,,,,40,81.7,89.2,78.7,,,,,,,,,,,,,,,,,,
